Well_ID,Date,"Cumulative Gas Production, ft3","Cumulative Oil Production, BBL","Cumulative Water Production, BBL"
1,2019-Jan-01 00:00:00,0,0,0
1,2019-Feb-01 00:00:00,1981248768,1560038.5,46347.71484
1,2019-Mar-01 00:00:00,3661005568,2882681.25,87383.35156
1,2019-Apr-01 00:00:00,5474707456,4310793,133498.9531
1,2019-May-01 00:00:00,7194637312,5665069,179134.6406
1,2019-Jun-01 00:00:00,8937913344,7037727.5,228068.4219
1,2019-Jul-01 00:00:00,10594269184,8341945,278160.9375
1,2019-Aug-01 00:00:00,12279229440,9668685,331286.5938
1,2019-Sep-01 00:00:00,13941254144,10977366,384945.1875
1,2019-Oct-01 00:00:00,15519522816,12220096,437419.4375
1,2019-Nov-01 00:00:00,17101105152,13465438,491425.1875
1,2019-Dec-01 00:00:00,18588747776,14636810,543108.625
1,2020-Jan-01 00:00:00,20088270848,15817536,595897.4375
1,2020-Feb-01 00:00:00,21551089664,16969362,648017.375
1,2020-Mar-01 00:00:00,22882299904,18017560,695972
1,2020-Apr-01 00:00:00,24268701696,19109214,746341.375
1,2020-May-01 00:00:00,25576779776,20139198,794254
1,2020-Jun-01 00:00:00,26896498688,21178346,842901
1,2020-Jul-01 00:00:00,28144705536,22161186,889178.875
1,2020-Aug-01 00:00:00,29406486528,23154714,936241.0625
1,2020-Sep-01 00:00:00,30641321984,24127026,982593
1,2020-Oct-01 00:00:00,31811928064,25048762,1026839.688
1,2020-Nov-01 00:00:00,32997875712,25982578,1071999.75
1,2020-Dec-01 00:00:00,34123425792,26868842,1115194.125
1,2021-Jan-01 00:00:00,35264778240,27767542,1159329.5
1,2021-Feb-01 00:00:00,36385386496,28649912,1202990
1,2021-Mar-01 00:00:00,37380841472,29433734,1242061.25
1,2021-Apr-01 00:00:00,38464843776,30287280,1284962.25
1,2021-May-01 00:00:00,39496749056,31099800,1326243.375
1,2021-Jun-01 00:00:00,40546099200,31926066,1368682.375
1,2021-Jul-01 00:00:00,41546223616,32713562,1409534.75
1,2021-Aug-01 00:00:00,42564567040,33515408,1451536.5
1,2021-Sep-01 00:00:00,43568381952,34305812,1493354.75
1,2021-Oct-01 00:00:00,44526686208,35060388,1533671.875
1,2021-Nov-01 00:00:00,45504045056,35829956,1575195
1,2021-Dec-01 00:00:00,46438105088,36565440,1615233.75
1,2022-Jan-01 00:00:00,47392047104,37316576,1656378.5
1,2022-Feb-01 00:00:00,48335282176,38059280,1697282.625
1,2022-Mar-01 00:00:00,49178378240,38723132,1734082.75
1,2022-Apr-01 00:00:00,50102083584,39450460,1774891
1,2022-May-01 00:00:00,50986323968,40146712,1814584.625
1,2022-Jun-01 00:00:00,51890696192,40858816,1855771.625
1,2022-Jul-01 00:00:00,52757704704,41541496,1895701.625
1,2022-Aug-01 00:00:00,53645635584,42240656,1937059.5
1,2022-Sep-01 00:00:00,54525825024,42933724,1978543.75
1,2022-Oct-01 00:00:00,55370600448,43598900,2018831.5
1,2022-Nov-01 00:00:00,56236687360,44280856,2060619.625
1,2022-Dec-01 00:00:00,57068548096,44935864,2101170.25
1,2023-Jan-01 00:00:00,57922514944,45608276,2143162
1,2023-Feb-01 00:00:00,58770264064,46275800,2185294.5
1,2023-Mar-01 00:00:00,59530899456,46874724,2223528.5
1,2023-Apr-01 00:00:00,60366835712,47532940,2266153.75
1,2023-May-01 00:00:00,61169537024,48164992,2307702
1,2023-Jun-01 00:00:00,61992460288,48812960,2350923.25
1,2023-Jul-01 00:00:00,62782611456,49435132,2393013.25
1,2023-Aug-01 00:00:00,63592742912,50073028,2436779
1,2023-Sep-01 00:00:00,64396607488,50705988,2480815.75
1,2023-Oct-01 00:00:00,65169084416,51314240,2523611.75
1,2023-Nov-01 00:00:00,65961992192,51938576,2568005.5
1,2023-Dec-01 00:00:00,66724364288,52538868,2611155
1,2024-Jan-01 00:00:00,67507204096,53155276,2655970
1,2024-Feb-01 00:00:00,68285329408,53767972,2701060.75
1,2024-Mar-01 00:00:00,69009301504,54338032,2743521.75
1,2024-Apr-01 00:00:00,69779259392,54944292,2789235.75
1,2024-May-01 00:00:00,70520659968,55528076,2833827.5
1,2024-Jun-01 00:00:00,71283105792,56128424,2880306.75
1,2024-Jul-01 00:00:00,72017264640,56706504,2925708
1,2024-Aug-01 00:00:00,72772149248,57300904,2973058
1,2024-Sep-01 00:00:00,73523396608,57892440,3020837.25
