StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Team Name:,Executive summary and workflow outline,Code/Workflow readability (use of markdown and/or code comments),"Use of consistent style (e.g. PEP8, Google, etc.)",Minimal loops (i.e. vectorized operations),"Use of functions/classes, etc. (single responsibility principle)",Comments/ Feedback:,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-02-01 13:46:32,2026-02-01 13:47:13,IP Address,128.62.167.205,100,40,True,2026-02-01 13:47:14,R_5U3gUnNh0G6eRDr,,,,,30.2887,-97.7398,anonymous,EN,blackgoldai,"4, Good","4, Good","4, Good","4, Good","5, Exceptional",,
2026-02-01 13:47:20,2026-02-01 13:47:31,IP Address,128.62.167.205,100,11,True,2026-02-01 13:47:32,R_61qxr8OpklkYgBr,,,,,30.2887,-97.7398,anonymous,EN,caffeins,"5, Exceptional","4, Good","4, Good","4, Good","4, Good",,
2026-02-01 13:47:36,2026-02-01 13:48:53,IP Address,128.62.167.205,100,76,True,2026-02-01 13:48:53,R_6BRXVFl7WKkzYpf,,,,,30.2887,-97.7398,anonymous,EN,chainhackathon26,"4, Good","4, Good","3, Acceptable","4, Good","4, Good",,
2026-02-01 13:49:08,2026-02-01 13:53:36,IP Address,128.62.167.205,100,268,True,2026-02-01 13:53:37,R_1CToWjYlGajQbQM,,,,,30.2887,-97.7398,anonymous,EN,explodingoranges,"4, Good","5, Exceptional","4, Good","4, Good","3, Acceptable",,
2026-02-01 13:53:40,2026-02-01 13:58:27,IP Address,128.62.167.205,100,287,True,2026-02-01 13:58:28,R_1kdMN3YxV8BbE3W,,,,,30.2887,-97.7398,anonymous,EN,gitfracked,"4, Good","4, Good","3, Acceptable","4, Good","4, Good",,
2026-02-01 13:58:35,2026-02-01 14:02:30,IP Address,128.62.167.205,100,234,True,2026-02-01 14:02:30,R_3qjPjLPtBsQOQkE,,,,,30.2887,-97.7398,anonymous,EN,globalminima,"5, Exceptional","4, Good","5, Exceptional","4, Good","4, Good",,
2026-02-01 14:02:50,2026-02-01 14:07:51,IP Address,128.62.167.205,100,301,True,2026-02-01 14:07:51,R_6jW3lryjxeqHi7z,,,,,30.2887,-97.7398,anonymous,EN,hackbabyhack,"5, Exceptional","5, Exceptional","4, Good","5, Exceptional","4, Good",,
2026-02-01 14:07:55,2026-02-01 14:15:16,IP Address,128.62.167.205,100,441,True,2026-02-01 14:15:16,R_7QxXgjF7MVCBlV6,,,,,30.2887,-97.7398,anonymous,EN,dieselwarriors,"3, Acceptable","3, Acceptable","4, Good","3, Acceptable","2, Needs Improvement",,
2026-02-01 14:15:20,2026-02-01 14:18:51,IP Address,128.62.167.205,100,211,True,2026-02-01 14:18:51,R_7vUqR4AbZMGwnV7,,,,,30.2887,-97.7398,anonymous,EN,hargishackers,"4, Good","4, Good","3, Acceptable","3, Acceptable","4, Good",,
2026-02-01 14:18:56,2026-02-01 14:26:03,IP Address,128.62.167.205,100,426,True,2026-02-01 14:26:03,R_6JqPkQDMV0utGzY,,,,,30.2887,-97.7398,anonymous,EN,hookemhacks,"4, Good","5, Exceptional","4, Good","4, Good","4, Good",,
2026-02-01 14:26:06,2026-02-01 14:41:11,IP Address,128.62.167.205,100,905,True,2026-02-01 14:41:11,R_3DxnfNtSiXEDZlv,,,,,30.2887,-97.7398,anonymous,EN,jarvis,"4, Good","3, Acceptable","3, Acceptable","4, Good","4, Good",,
2026-02-01 14:41:24,2026-02-01 14:52:43,IP Address,128.62.167.205,100,678,True,2026-02-01 14:52:43,R_7j6YWvBsWXXXOZb,,,,,30.2887,-97.7398,anonymous,EN,jawlr,"5, Exceptional","5, Exceptional","4, Good","4, Good","5, Exceptional",,
