Well_ID,AI_mean,AI_std,AI_min,AI_max,AI_p10,AI_p50,AI_p90,SI_mean,SI_std,SI_min,SI_max,SI_p10,SI_p50,SI_p90,Vp_mean,Vp_std,Vp_min,Vp_max,Vp_p10,Vp_p50,Vp_p90,Vs_mean,Vs_std,Vs_min,Vs_max,Vs_p10,Vs_p50,Vs_p90,rho_b_mean,rho_b_std,rho_b_min,rho_b_max,rho_b_p10,rho_b_p50,rho_b_p90,rho_f_mean,rho_f_std,rho_f_min,rho_f_max,rho_f_p10,rho_f_p50,rho_f_p90,rho_m_mean,rho_m_std,rho_m_min,rho_m_max,rho_m_p10,rho_m_p50,rho_m_p90,K0_mean,K0_std,K0_min,K0_max,K0_p10,K0_p50,K0_p90,Kdry_mean,Kdry_std,Kdry_min,Kdry_max,Kdry_p10,Kdry_p50,Kdry_p90,Kf_mean,Kf_std,Kf_min,Kf_max,Kf_p10,Kf_p50,Kf_p90,Ksat_mean,Ksat_std,Ksat_min,Ksat_max,Ksat_p10,Ksat_p50,Ksat_p90,G0_mean,G0_std,G0_min,G0_max,G0_p10,G0_p50,G0_p90,Gdry_mean,Gdry_std,Gdry_min,Gdry_max,Gdry_p10,Gdry_p50,Gdry_p90,Gsat_mean,Gsat_std,Gsat_min,Gsat_max,Gsat_p10,Gsat_p50,Gsat_p90,facies_mean,facies_std,facies_min,facies_max,facies_p10,facies_p50,facies_p90,phi_mean,phi_std,phi_min,phi_max,phi_p10,phi_p50,phi_p90,perm_mean,perm_std,perm_min,perm_max,perm_p10,perm_p50,perm_p90,GR_mean,GR_std,GR_min,GR_max,GR_p10,GR_p50,GR_p90,X,Y,perm_cv,phi_cv,RQI,perm_range_ratio,sand_proportion,Cum_Oil_3yr,Start_Date
1,5004644.148809524,1262124.128330713,3959245.75,7219024.0,4007927.375,4309400.5,7199923.0,2369728.7946428573,729846.3107698562,1823787.25,3770280.75,1842986.625,1993866.125,3753484.0,2201.743201952381,435.26883101195307,1849.957275,2972.544189,1863.966919,1957.994019,2966.5078125,1041.510893295238,262.79440740282087,852.1644287,1549.403809,858.0953369,905.9213257,1544.438354,2.2523198412142857,0.11150874089762555,2.140182257,2.430322886,2.1485067605,2.200926304,2.426620483,0.9560238634285715,0.0485098182108455,0.912139237,1.031301975,0.915600717,0.927497387,1.031187773,2.646021122,0.0027009692228692436,2.639686108,2.647628546,2.640423059,2.647532225,2.647605896,36.835745585,1.794095834651015,32.35955048,37.69065857,32.94509888,37.67466736,37.689613345,2.4882121057142856,1.702810828485046,1.245263457,5.423144817,1.266996741,1.440156341,5.404084682,1.5936345996190477,0.28329082263978395,1.357274175,2.054320335,1.370784998,1.419343829,2.053309202,8.00780437102381,3.3829960311169147,5.252213478,13.68906879,5.353523254,6.029399395,13.59528923,37.562215622857146,7.051601686851861,22.12769699,41.978302,23.26909065,41.83287811,41.94412994,2.558245190595238,1.4871079944941499,1.554166555,5.853251457,1.584245503,1.806285858,5.797024727,2.6551374424761907,1.624948961422936,1.564655066,5.853251457,1.581458211,1.806285858,5.797024727,2.4761904761904763,0.7496030695673292,2.0,4.0,2.0,2.0,4.0,0.2312395491904762,0.06152945077040506,0.131762816,0.292393839,0.134141694,0.259649293,0.287902296,872.9856169166667,517.5817988785068,128.0405372,1503.42185,135.1885477,1032.37381,1442.041576,33.66992096880953,12.589929991006706,21.72457645,64.49279894,23.44437754,28.50971918,58.6958828,33,127,0.5928869718456243,0.2660853257403738,1.9293105327983928,10.666891462826985,0.6244867,37316576.0,2019-01-01
2,4315844.93452381,852024.1939746449,3783827.75,6855845.0,3854698.875,4090256.75,4209156.0,2057213.9672619049,528933.8130181315,1734713.0,3633872.0,1775230.0,1925581.75,1978710.75,1969.9143472380952,300.1279687937311,1797.259033,2868.143311,1816.791992,1886.007446,1923.883911,937.0438711809524,195.15844179214162,823.9616089,1520.151367,837.7263794,886.8434448,904.555603,2.1802454335714287,0.07426182455872904,2.105332375,2.390467167,2.119104862,2.168276072,2.188028574,0.9153628762857143,0.029102114353990762,0.899286866,1.004795432,0.900187314,0.907197118,0.911226273,2.6476629575714288,0.0008084889835440495,2.645230293,2.647979498,2.647872686,2.647918463,2.64797163,37.54565947285714,0.14232519763215928,37.11593628,37.6023674,37.5753212,37.5904541,37.60089874,1.5801126190714285,0.9136139999025131,1.137342572,5.119735241,1.180199027,1.346828103,1.408651471,1.3816342977619047,0.14824640146859902,1.30935657,1.843701243,1.312603235,1.338439107,1.353754878,6.050656386809523,2.0793114985836105,5.011723995,12.31277752,5.011723995,5.443358421,5.711835384,41.60719371904762,2.56910504629167,33.87344742,42.50569534,42.35131454,42.42215729,42.48477554,2.0271642463809525,1.166098369912523,1.429337025,5.524035454,1.487156987,1.707689643,1.794795394,2.0267140353809525,1.166243437128787,1.429337025,5.524035454,1.487156987,1.707689643,1.794795394,2.0952380952380953,0.30079260375911926,2.0,3.0,2.0,2.0,2.0,0.26601599516666663,0.041883762709965765,0.154808092,0.311739054,0.21852733700000002,0.274318054,0.303725414,1234.2710812238095,409.52976705839916,209.0636426,1845.592223,1089.602556,1228.95622,1697.615816,28.062836545476188,4.962438150134921,19.72347579,36.40712308,22.60319471,27.35517608,34.82986885,71,53,0.33179888380139355,0.15744828683600168,2.138853552655552,1.5580137960340705,0.6240899,47946168.0,2019-01-01
3,3963661.035714286,164238.21457411844,3772805.75,4195747.0,3780163.25,3961211.5,4167123.25,1825888.3660714286,136774.9756828229,1680271.5,2032216.125,1680350.5,1812766.25,2007452.625,1851.040916857143,45.510337259603354,1797.182007,1913.802612,1800.406616,1852.265503,1905.984375,852.8057672380952,48.80365196130452,800.7373047,926.953064,800.7788086,847.6508789,918.1809692,2.1388807183809524,0.03760138508659734,2.096875668,2.192361355,2.097680926,2.138576508,2.1862591504999997,0.9118281062619047,0.019195595035802825,0.878338397,0.932382941,0.882461905,0.918597341,0.931559741,2.647739064190476,0.0003794184188626292,2.647381306,2.648428202,2.647385359,2.647580147,2.648334026,37.63657615428571,0.09526197221576245,37.4705925,37.72672653,37.48558426,37.67640305,37.72575378,1.2438556439761905,0.13578019937253424,1.09786427,1.443884015,1.098099232,1.234431744,1.420199275,1.3598627108809525,0.0722317737821425,1.238111615,1.440296412,1.251515985,1.382700562,1.436722875,5.253715322142857,0.2160218419473489,4.97576952,5.498782158,5.004834652,5.288424492,5.484865665,42.15537697738095,0.585538645091203,41.60791397,43.22952652,41.61361694,41.914854045,43.07765198,1.5636004096190477,0.20722142431527257,1.345511794,1.883768916,1.345696211,1.536592841,1.843204737,1.5627235231428571,0.20583315625271648,1.345511794,1.8653543,1.345696211,1.536592841,1.843204737,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.2933037307142857,0.02462897695802831,0.257651875,0.32,0.261625717,0.294394819,0.32,1555.8993305714287,404.29333126058987,1007.61483,2007.843137,1057.296734,1536.471996,2007.843137,26.530574471904764,5.521714043111148,15.09064648,33.92451472,19.36133823,26.82153789,33.05612449,58,186,0.259845430431612,0.0839708956243042,2.2869759707796704,1.899034651799998,0.6238963,56067860.0,2019-01-01
4,5358182.392857143,1891326.136098253,3895863.25,8557738.0,4005838.5,4358149.5,8520964.0,2397453.470238095,685107.651258489,1821158.0,3507503.25,1879394.375,2042511.875,3505875.25,2283.346040238095,588.7449304365305,1828.842896,3270.294189,1861.895752,1970.716309,3261.429688,1026.7544831880953,200.12528034610153,854.9098511,1342.539185,873.5340576,922.5812988,1341.866577,2.300703962595238,0.18742104871901788,2.130234003,2.616809845,2.1516444685,2.212364197,2.612646818,0.9550489726190476,0.07381035533085471,0.898408175,1.077701807,0.90094316,0.917126238,1.07732451,2.6530590170952384,0.010633376551059035,2.639933825,2.673210144,2.647634506,2.647897482,2.671076059,35.18921443428572,4.039078276433061,28.30739975,37.66261292,28.34484291,37.58201981,37.66097641,3.2101725511666666,3.02744010786729,1.220770717,8.710710526,1.288077354,1.491192341,8.672789574,1.6660715795238095,0.5279832579924967,1.306203961,2.567811489,1.315340996,1.376180172,2.562602282,9.838693379595238,6.875196798078541,5.04902029,21.71783447,5.269500256,6.092534542,21.51806068,34.57726051595238,12.673554718411602,13.6028223,42.78907394,13.61570263,42.05920792,42.642776485,2.5916187819285716,1.3082668979961956,1.556926012,4.705068111,1.64171505,1.884383202,4.70434761,2.591655654452381,1.3082448329627387,1.556926012,4.705068111,1.64171505,1.882980704,4.70434761,3.0,1.732050807568877,2.0,6.0,2.0,2.0,6.0,0.20387293378571428,0.10067410374413573,0.035331503,0.295996753,0.0366614,0.251263675,0.2841415625,795.6718972174762,532.7639824026786,2.428798519,1563.309454,2.713775684,931.2666908,1373.856252,43.60969095761905,29.786046562495297,16.9649996,97.34770955,21.26353635,28.94622455,96.49130644,80,95,0.6695774781864157,0.4938080885712458,1.961628991283261,506.2525078426829,0.6238945,34581560.0,2019-01-01
5,4781182.595238095,1208082.1985028437,3855848.75,7191379.0,3865644.0,4170624.5,6624363.0,2243063.601190476,625098.2014363492,1765997.875,3713254.5,1770261.875,1941337.875,3178230.0,2124.129010904762,406.47012532810726,1818.943115,2952.052246,1822.356934,1913.479736,2733.25708,995.3205188785714,216.2277900521048,833.085022,1524.286377,835.5289917,890.6845093,1311.359253,2.2293680111428573,0.12079618915785924,2.119829178,2.436060905,2.121233225,2.179602146,2.423614979,0.9411124927142858,0.046738298887793975,0.907061219,1.033844113,0.909797728,0.914878428,1.008979917,2.6459641229285715,0.0028844272021456793,2.640150547,2.647690773,2.640980244,2.647648573,2.647685051,36.72743770023809,1.6538517082626916,33.18152237,37.66409683,33.39603424,37.6548996,37.660163874999995,2.2635408071666667,1.593825764329285,1.181444287,5.420723438,1.185617447,1.374752402,4.868417263,1.515085771,0.25963925618544675,1.337928653,2.077076435,1.348284721,1.367943645,1.874032855,7.441450369119048,3.286159983484163,5.051933765,13.68257523,5.080208778,5.67491293,12.54901981,37.66445827333333,6.744048009424449,24.04909706,42.07278061,27.84955978,42.00218964,42.050180435,2.361693512857143,1.2653550564675657,1.477522612,5.66006279,1.477522612,1.729119539,4.167800903,2.3611916984761905,1.2657242134912603,1.471226454,5.66006279,1.477522612,1.729119539,4.167800903,2.380952380952381,0.6690433824641326,2.0,4.0,2.0,2.0,3.0,0.2454234670714286,0.0638033556389759,0.127495132,0.303896428,0.131998622,0.270121412,0.303111227,1026.9387461333333,600.8770869057536,115.8673193,1700.679659,128.7373524,1169.348225,1686.645462,31.695925969047618,14.482252988179798,11.11938482,67.89365807,19.28845915,25.85322523,46.38654716,26,141,0.5851148271191418,0.2599725136325551,2.0311587804076603,13.101445831027936,0.6238683,44649800.0,2019-01-01
6,3858146.1726190476,99836.28069009763,3704025.0,3956617.75,3705906.75,3918391.0,3950504.0,1765739.6726190476,49247.18739011082,1690986.125,1824147.375,1691259.75,1779314.0,1819408.625,1820.4354364761905,31.101489817256763,1772.424805,1849.861084,1773.143433,1841.472534,1848.494751,833.1476556761904,15.990600486345034,809.0761719,852.6513062,809.2575684,836.0419922,851.3825073,2.1191601412857146,0.019043335761690847,2.089806557,2.139382601,2.090020895,2.128128767,2.138278484,0.9124085646190477,0.007073256349245861,0.903956711,0.924038231,0.904646873,0.91052264,0.924038231,2.647743457809524,8.946063942952088e-05,2.647610903,2.647855997,2.647622585,2.6477546690000002,2.647852898,37.63502911166667,0.022670172709571734,37.60653687,37.66861343,37.60737228,37.6320076,37.66566849,1.1776729367857142,0.05483917835043158,1.094691753,1.241321564,1.094716072,1.195413232,1.2364121080000001,1.3594064258095238,0.028659171640323475,1.326370835,1.412538886,1.328922868,1.351055026,1.40487349,5.064199992571428,0.21147831685776916,4.741154194,5.252038002,4.746922016,5.191589832,5.247209549,42.153643109523806,0.13670503006538817,41.95160294,42.32590866,41.96918869,42.17140961,42.32081604,1.472484747547619,0.06844918036200534,1.368136525,1.555361748,1.368609667,1.487581253,1.55036664,1.4721709575238096,0.06910758757443068,1.368136525,1.555361748,1.368609667,1.4902371765,1.55036664,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.3045378524285714,0.010051965289556548,0.292952555,0.32,0.293477864,0.301323131,0.32,1720.367417714286,186.75297237591045,1512.597622,2007.843137,1521.26182,1655.002248,2007.843137,25.092345142857145,6.278419320046612,11.79138483,40.46393156,19.97131574,24.64585903,31.89118572,64,30,0.10855412073778642,0.03300727712301121,2.360041348957153,1.3198537617148285,0.6239601,63903484.0,2019-04-01
7,4147158.5,630381.2310806605,3759943.75,6697548.0,3760905.25,4016473.25,4385095.5,1900900.0357142857,327269.1967701559,1681753.75,3185246.25,1682223.375,1830512.0,2060746.75,1912.351234142857,204.35518236098906,1793.882446,2751.697266,1794.254639,1870.27063,1976.810181,884.4824305999999,121.80001083142379,802.1852417,1308.663086,802.5142212,852.3778687,928.9888916,2.1509776626190478,0.04949933106558308,2.095981121,2.224549294,2.096082211,2.147535801,2.218268394,0.9259482849761905,0.017704084739515156,0.913081706,1.001098752,0.915846229,0.924132884,0.926159143,2.646959883809524,0.001793031987955942,2.639969349,2.647640944,2.647436142,2.647473216,2.647574902,37.474811554285715,1.0135883497475235,33.05179214,37.71284103,37.66102219,37.70177841,37.71166229,1.4404297272380953,0.8125134277906582,1.097416759,4.919061661,1.097473741,1.258938789,1.5133034585,1.417465525047619,0.09321547662175285,1.36092639,1.817710996,1.371753454,1.40526545,1.413710356,5.788383006904762,1.6818222857685627,4.94413805,12.87173843,4.947677135,5.431507587,6.115953445,40.92575481857143,3.9583936978374954,23.65571785,42.04811478,41.69150543,41.75296783,41.945961,1.6987675145238097,0.6046030943632641,1.34907794,4.168414116,1.35000813,1.560287952,1.91441083,1.5932475896666667,0.22822746540061745,1.34907794,1.949987411,1.35000813,1.560287952,1.91441083,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.2821476103809524,0.045201805442363095,0.125696149,0.32,0.247747692,0.290240238,0.32,1445.2291569857143,530.9539427396318,110.9800796,2007.843137,891.0482797,1468.431179,2007.843137,27.825916037857144,6.889491429332773,18.29536075,50.17694997,21.18124143,27.17377409,32.76263021,43,174,0.36738391290626315,0.16020623170025133,2.2472936116444138,2.2533494317756335,0.62389123,50449848.0,2019-04-01
8,5550448.130952381,2010715.0141854754,3792962.75,8483045.0,3910041.0,4384102.5,8461195.0,2449847.6071428573,721234.4511329018,1749187.0,3500176.25,1803889.125,2050021.25,3497531.5,2343.331984809524,621.7130582579597,1815.141602,3250.010742,1834.212891,1980.083374,3243.75708,1030.7360462166666,209.8077003763444,829.8355713,1340.995483,847.1952515,925.6018677,1340.7757565,2.318094792857143,0.2055900517940535,2.107871771,2.610159159,2.129248381,2.215954065,2.6087327,0.9715143088809525,0.07667090694344084,0.903910995,1.077323198,0.909835637,0.924813867,1.077227354,2.6546255465,0.010931880641000166,2.647623539,2.672203541,2.647632599,2.647905588,2.671365023,34.447013038095236,4.626462275244022,26.44262123,37.66541672,28.34831619,37.59397888,37.66314697,3.677807274452381,3.3840318371696916,1.146921754,8.657247543,1.211582661,1.500721097,8.65014267,1.775463632190476,0.5675660036254406,1.326202154,2.562584639,1.348429322,1.40809238,2.561264038,10.662471691452382,7.2320307946203055,4.889778137,21.31175613,5.125846863,6.177446365,21.19320297,32.63889060619048,13.85419145326721,12.98776245,42.65353012,13.60752106,41.99693298,42.49926376,2.6497431936666667,1.3692757272177554,1.45153749,4.693673134,1.528246403,1.898493886,4.68964386,2.6500206674761904,1.3691180133261758,1.45153749,4.693673134,1.528246403,1.898493886,4.68964386,3.2857142857142856,1.8746428231227712,2.0,6.0,2.0,2.0,6.0,0.19591990452380953,0.11127509330984937,0.038394356,0.309717177,0.039332028,0.250645894,0.298435081,810.8977139092856,639.9413939696135,3.117493304,1807.398748,3.35176906,914.7984341,1604.812152,47.23609651619048,31.718887784052693,19.25857486,95.62576647,21.22893654,28.07428119,93.81150427,82,66,0.789176468243445,0.5679621658672586,2.020102498858199,478.7954195163375,0.62395,30672678.0,2019-04-01
9,4825679.267857143,1000299.6693945207,4005718.25,6753296.5,4096880.625,4297387.5,6528240.0,2219009.380952381,431758.2825009131,1870103.0,3378816.0,1912758.875,2021288.25,2765189.125,2132.7236503333334,338.78304536065053,1862.605591,2794.762451,1890.796631,1950.676636,2705.223877,987.7078988857144,143.21723528657486,869.572998,1299.850098,882.7764893,917.5391235,1220.721924,2.2481002523333333,0.09714306444078359,2.150599241,2.416411638,2.166753292,2.203023911,2.413231134,0.937786465547619,0.04355468175456021,0.904962361,1.017079234,0.909854472,0.912798285,0.998500049,2.6457595030238097,0.0033696565902233016,2.639731169,2.64794755,2.640143394,2.647777796,2.647876501,36.40956152047619,1.9991603594109348,32.39503098,37.62977219,33.17653656,37.61669159,37.62867737,2.2672548010238094,1.427559829994466,1.282650232,5.032310009,1.332779765,1.460236073,4.783079624,1.4940276203333334,0.2309161375566339,1.330092788,1.946082115,1.348501086,1.359825969,1.799874544,7.618506829380952,2.80665619810876,5.292818546,12.57449341,5.495000839,5.917050362,12.22386646,36.71038223523809,8.295963718058776,22.19604874,42.46763229,23.92121315,42.19247055,42.35728455,2.3607046264523808,0.9966232802840661,1.62619102,4.724525452,1.688538671,1.85461092,4.077363968,2.3208053,0.9572650008611794,1.62619102,4.724525452,1.688538671,1.854332328,4.032249928,2.380952380952381,0.6690433824641326,2.0,4.0,2.0,2.0,3.0,0.2352494756904762,0.04849018007502472,0.13783158,0.285342881,0.157374808,0.256016513,0.276837688,832.7557325595238,435.7164917149198,145.5400514,1391.063948,147.657469,987.661167,1263.766544,35.534346240000005,13.96138611248696,18.956051,61.78200961,21.84217605,31.88537067,57.15020698,55,111,0.5232224464858615,0.20612237256938462,1.8682032853667823,8.558771486467974,0.62352544,36208440.0,2019-04-01
10,4355449.880952381,1234086.6085573742,3714524.0,7358846.5,3734965.0,3820815.0,7211577.5,2018205.4047619049,726317.8603372029,1677450.375,3774166.75,1679090.75,1690690.5,3713196.5,1995.6393577142856,424.173183116632,1776.412354,3023.219482,1784.231201,1815.410034,2982.495361,906.0586126119048,231.180572750052,798.9943237,1550.533081,800.1350708,807.8189697,1211.30941755,2.1598984115952384,0.11440742385189707,2.091025829,2.434109211,2.093318939,2.104656696,2.417967796,0.946375361547619,0.0408082668495515,0.907940567,1.041098833,0.915412188,0.936462045,1.041014552,2.6470534858809525,0.0007953647757586456,2.645175457,2.647771835,2.645236015,2.647245407,2.647628069,37.63993308619048,0.23440355400378288,37.07004547,37.77525711,37.12075806,37.73736572,37.77442932,1.7559215624761904,1.5142045201449634,1.095312476,5.43580246,1.096374035,1.113960505,5.299518585,1.535437274452381,0.25806939623089203,1.341239095,2.144881725,1.370042324,1.458270073,2.144068718,6.47033482504762,3.241461922864447,4.77913475,14.4447813,4.854102612,5.125482082,13.9055109,40.46927642904762,2.805511840120237,33.72928619,42.19645691,33.88865662,41.411817555,41.97719955,2.0409150237142857,1.5697329940219273,1.34027338,5.851970673,1.343499303,1.364543915,5.70223856,2.0414422863333335,1.5695119256320924,1.34027338,5.851970673,1.343499303,1.3679634726666667,5.70223856,2.142857142857143,0.3585685828003181,2.0,3.0,2.0,2.0,3.0,0.2821565975952381,0.06570842532077148,0.131575506,0.32,0.141642658,0.317158043,0.32,1585.1269829285714,651.8123973122437,127.4888582,2007.843137,159.4948178,1950.88555,2007.843137,27.235406699190477,6.293432789236982,7.575499423,35.81397709,23.08069627,27.38823571,34.4243447,21,188,0.4112051616886869,0.2328792800905267,2.3535128433330503,12.588767159375589,0.6238369,66196828.0,2019-04-01
